id,task,status
1,Stage - Administrateur Système et Réseau H/F,Refusée
2,Stage - Analyste Cybersécurité,En attente
3,Stage - Ingénieur en Intelligence Artificielle,Refusée
4,Stage - Chef de Projet Digital,Refusée
5,Stage - Développeur Mobile iOS/Android,En attente
6,Stage - Consultant en Stratégie,Acceptée
7,Stage - Graphiste UI/UX Designer,Refusée
8,Stage - Ingénieur DevOps,Acceptée
9,Stage - Data Analyst,Acceptée
10,Stage - Simulation en Laboratoire,Refusée
11,Stage - Analyste Financier,Refusée
12,Stage - Ingénieur en Systèmes Embarqués,Acceptée
13,Stage - Data Scientist,Refusée
14,Stage - Développeur Web Full-Stack,Refusée
15,Stage - Consultant Marketing Digital,En attente
16,Stage - Développeur Blockchain,En attente
17,Stage - Chargé de Communication,En attente
18,Stage - Ingénieur Cloud & DevOps,Refusée
19,Stage - Responsable Énergies Renouvelables,Acceptée
20,Stage - Consultant Supply Chain,Acceptée
